series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	pancreatic_cancer_control	pancreatic_cancer	sample_class
1550	4	68141	GSM399715	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68142	GSM399716	GPL570	GSE15932		pancreatic_cancer	1
1550	4	68143	GSM399717	GPL570	GSE15932	pancreatic_cancer_control		0
1550	4	68144	GSM399718	GPL570	GSE15932	pancreatic_cancer_control		0
1550	4	68145	GSM399719	GPL570	GSE15932	pancreatic_cancer_control		0
1550	4	68146	GSM399761	GPL570	GSE15932	pancreatic_cancer_control		0
1550	4	68147	GSM399762	GPL570	GSE15932	pancreatic_cancer_control		0
1550	4	68148	GSM399763	GPL570	GSE15932	pancreatic_cancer_control		0
1550	4	68149	GSM399765	GPL570	GSE15932	pancreatic_cancer_control		0
1550	4	68150	GSM399766	GPL570	GSE15932	pancreatic_cancer_control		0
2400	2	96869	GSM478455	GPL96	GSE19279	pancreatic_cancer_control		0
2400	2	96870	GSM478456	GPL96	GSE19279	pancreatic_cancer_control		0
2400	2	96871	GSM478457	GPL96	GSE19279	pancreatic_cancer_control		0
2400	2	96872	GSM478458	GPL96	GSE19279		pancreatic_cancer	1
2400	2	96873	GSM478459	GPL96	GSE19279		pancreatic_cancer	1
2400	2	96874	GSM478460	GPL96	GSE19279		pancreatic_cancer	1
2400	2	96875	GSM478461	GPL96	GSE19279		pancreatic_cancer	1
2485	4	100924	GSM490138	GPL570	GSE19650	pancreatic_cancer_control		0
2485	4	100925	GSM490139	GPL570	GSE19650	pancreatic_cancer_control		0
2485	4	100926	GSM490140	GPL570	GSE19650	pancreatic_cancer_control		0
2485	4	100927	GSM490141	GPL570	GSE19650	pancreatic_cancer_control		0
2485	4	100928	GSM490142	GPL570	GSE19650	pancreatic_cancer_control		0
2485	4	100929	GSM490143	GPL570	GSE19650	pancreatic_cancer_control		0
2485	4	100930	GSM490144	GPL570	GSE19650	pancreatic_cancer_control		0
2485	4	100931	GSM490145	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100932	GSM490146	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100933	GSM490147	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100934	GSM490148	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100935	GSM490149	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100936	GSM490150	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100937	GSM490151	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100938	GSM490152	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100939	GSM490153	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100940	GSM490154	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100941	GSM490155	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100942	GSM490156	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100943	GSM490157	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100944	GSM490158	GPL570	GSE19650		pancreatic_cancer	1
2485	4	100945	GSM490159	GPL570	GSE19650		pancreatic_cancer	1
2867	54	119264	GSM529731	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119265	GSM529732	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119266	GSM529733	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119267	GSM529734	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119268	GSM529735	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119269	GSM529736	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119270	GSM529737	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119271	GSM529738	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119272	GSM529739	GPL5188	GSE21163	pancreatic_cancer_control		0
2867	54	119273	GSM529740	GPL5188	GSE21163	pancreatic_cancer_control		0
2867	54	119274	GSM529741	GPL5188	GSE21163	pancreatic_cancer_control		0
2867	54	119275	GSM529742	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119276	GSM529743	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119277	GSM529744	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119278	GSM529745	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119279	GSM529746	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119280	GSM529747	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119281	GSM529748	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119282	GSM529749	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119283	GSM529750	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119284	GSM529751	GPL5188	GSE21163		pancreatic_cancer	1
2867	54	119285	GSM529752	GPL5188	GSE21163		pancreatic_cancer	1
3283	4	133234	GSM563305	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133235	GSM563306	GPL570	GSE22780		pancreatic_cancer	1
3283	4	133236	GSM563307	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133237	GSM563308	GPL570	GSE22780		pancreatic_cancer	1
3283	4	133238	GSM563309	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133239	GSM563310	GPL570	GSE22780		pancreatic_cancer	1
3283	4	133240	GSM563311	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133241	GSM563312	GPL570	GSE22780		pancreatic_cancer	1
3283	4	133242	GSM563313	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133243	GSM563314	GPL570	GSE22780		pancreatic_cancer	1
3283	4	133244	GSM563315	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133245	GSM563316	GPL570	GSE22780		pancreatic_cancer	1
3283	4	133246	GSM563317	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133247	GSM563318	GPL570	GSE22780		pancreatic_cancer	1
3283	4	133248	GSM563319	GPL570	GSE22780	pancreatic_cancer_control		0
3283	4	133249	GSM563320	GPL570	GSE22780		pancreatic_cancer	1
3450	54	139499	GSM573804	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139500	GSM573805	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139501	GSM573806	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139502	GSM573807	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139503	GSM573808	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139504	GSM573809	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139505	GSM573810	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139506	GSM573811	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139507	GSM573812	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139508	GSM573813	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139509	GSM573814	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139510	GSM573815	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139511	GSM573816	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139512	GSM573817	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139513	GSM573818	GPL5188	GSE23397		pancreatic_cancer	1
3450	54	139514	GSM573819	GPL5188	GSE23397	pancreatic_cancer_control		0
3450	54	139515	GSM573820	GPL5188	GSE23397	pancreatic_cancer_control		0
3450	54	139516	GSM573821	GPL5188	GSE23397	pancreatic_cancer_control		0
3450	54	139517	GSM573822	GPL5188	GSE23397	pancreatic_cancer_control		0
3450	54	139518	GSM573823	GPL5188	GSE23397	pancreatic_cancer_control		0
3450	54	139519	GSM573824	GPL5188	GSE23397	pancreatic_cancer_control		0
4791	283	194282	GSM711904	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194283	GSM711905	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194284	GSM711906	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194285	GSM711907	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194286	GSM711908	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194287	GSM711909	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194288	GSM711910	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194289	GSM711911	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194290	GSM711912	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194291	GSM711913	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194292	GSM711914	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194293	GSM711915	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194294	GSM711916	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194295	GSM711917	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194296	GSM711918	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194297	GSM711919	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194298	GSM711920	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194299	GSM711921	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194300	GSM711922	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194301	GSM711923	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194302	GSM711924	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194303	GSM711925	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194304	GSM711926	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194305	GSM711927	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194306	GSM711928	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194307	GSM711929	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194308	GSM711930	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194309	GSM711931	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194310	GSM711932	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194311	GSM711933	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194312	GSM711934	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194313	GSM711935	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194314	GSM711936	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194315	GSM711937	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194316	GSM711938	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194317	GSM711939	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194318	GSM711940	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194319	GSM711941	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194320	GSM711942	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194321	GSM711943	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194322	GSM711944	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194323	GSM711945	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194324	GSM711946	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194325	GSM711947	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194326	GSM711948	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194327	GSM711949	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194328	GSM711950	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194329	GSM711951	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194330	GSM711952	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194331	GSM711953	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194332	GSM711954	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194333	GSM711955	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194334	GSM711956	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194335	GSM711957	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194336	GSM711958	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194337	GSM711959	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194338	GSM711960	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194339	GSM711961	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194340	GSM711962	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194341	GSM711963	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194342	GSM711964	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194343	GSM711965	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194344	GSM711966	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194345	GSM711967	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194346	GSM711968	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194347	GSM711969	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194348	GSM711970	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194349	GSM711971	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194350	GSM711972	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194351	GSM711973	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194352	GSM711974	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194353	GSM711975	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194354	GSM711976	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194355	GSM711977	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194356	GSM711978	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194357	GSM711979	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194358	GSM711980	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194359	GSM711981	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194360	GSM711982	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194361	GSM711983	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194362	GSM711984	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194363	GSM711985	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194364	GSM711986	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194365	GSM711987	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194366	GSM711988	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194367	GSM711989	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194368	GSM711990	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194369	GSM711991	GPL6244	GSE28735	pancreatic_cancer_control		0
4791	283	194370	GSM711992	GPL6244	GSE28735		pancreatic_cancer	1
4791	283	194371	GSM711993	GPL6244	GSE28735	pancreatic_cancer_control		0
5154	963	208702	GSM745975	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208703	GSM745976	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208704	GSM745977	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208705	GSM745978	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208706	GSM745979	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208707	GSM745980	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208708	GSM745981	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208709	GSM745982	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208710	GSM745983	GPL3985	GSE30134	pancreatic_cancer_control		0
5154	963	208719	GSM745993	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208720	GSM745995	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208721	GSM745996	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208722	GSM745997	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208723	GSM745998	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208724	GSM745999	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208725	GSM746000	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208726	GSM746001	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208727	GSM746002	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208728	GSM746003	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208729	GSM746004	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208730	GSM746005	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208731	GSM746006	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208732	GSM746007	GPL3985	GSE30134		pancreatic_cancer	1
5154	963	208733	GSM746008	GPL3985	GSE30134		pancreatic_cancer	1
