doid	log.txt	samples.tsv	balanced_permutation.tsv.gz	slim_id	slim_name	case_query	control_query
DOID_13241	True	True	False	DOID:13241	Behcet's disease	Behcet == 'Behcet'	Behcet_control == 'Behcet_control'
DOID_2998	True	True	False	DOID:2998	testicular cancer	testicular_cancer == 'testicular_cancer'	testicular_cancer_control == 'testicular_cancer_control'
DOID_263	True	True	True	DOID:263	kidney cancer	RCC == 'RCC'	RCC_Control == 'RCC_Control'
DOID_0050741	True	True	True	DOID:0050741	alcohol dependence	alcoholism == 'alcoholism'	alcoholism_control == 'alcoholism_control'
DOID_9008	True	True	True	DOID:9008	psoriatic arthritis	PsA == 'PsA'	PsA_control == 'PsA_control'
DOID_1612	True	True	True	DOID:1612	breast cancer	breast_cancer == 'breast_cancer'	breast_cancer_control == 'breast_cancer_control' or breast_tissue_control == 'breast_tissue_control'
DOID_9744	True	True	True	DOID:9744	type 1 diabetes mellitus	T1D == 'T1D'	T1D_control == 'T1D_control'
DOID_4481	True	True	True	DOID:4481	allergic rhinitis	allergic_rhinitis == 'allergic_rhinitis'	allergic_rhinitis_control == 'allergic_rhinitis_control'
DOID_11949	True	True	False	DOID:11949	Creutzfeldt-Jakob disease	CJD == 'CJD'	CJD_control == 'CJD_control'
DOID_14221	True	True	False	DOID:14221	metabolic syndrome X	MetS == 'MetS'	MetS_Control == 'MetS_Control'
DOID_784	True	True	False	DOID:784	chronic kidney failure	CKD == 'CKD'	CKD_Control == 'CKD_Control'
DOID_1024	True	True	False	DOID:1024	leprosy	borderline_leprosy == 'borderline_leprosy' or leprosy == 'leprosy'	leprosy_control == 'leprosy_control'
DOID_12365	True	True	True	DOID:12365	malaria	malaria == 'malaria'	malaria_control == 'malaria_control'
DOID_9970	True	True	True	DOID:9970	obesity	obesity == 'obesity'	obesity_control == 'obesity_control'
DOID_8577	True	True	True	DOID:8577	ulcerative colitis	UC == 'UC'	UC_control == 'UC_control'
DOID_10608	True	True	False	DOID:10608	celiac disease	celiac == 'celiac'	celiac_control == 'celiac_control'
DOID_1793	True	True	True	DOID:1793	pancreatic cancer	pancreatic_cancer == 'pancreatic_cancer'	pancreatic_cancer_control == 'pancreatic_cancer_control'
DOID_219	True	True	True	DOID:219	colon cancer	colon_cancer == 'colon_cancer'	colon_cancer_control == 'colon_cancer_control'
DOID_14227	True	True	True	DOID:14227	azoospermia	azoospermia == 'azoospermia'	azoospermia_control == 'azoospermia_control'
DOID_13223	True	True	True	DOID:13223	uterine fibroid	uterine_fibroid == 'uterine_fibroid'	uterine_fibroid_control == 'uterine_fibroid_control'
DOID_10871	True	True	False	DOID:10871	age related macular degeneration	AMD == 'AMD'	AMD_control == 'AMD_control'
DOID_10283	True	True	True	DOID:10283	prostate cancer	PC == 'PC'	PC_control == 'PC_control' or PC_tissue_control == 'PC_tissue_control'
DOID_3312	True	True	True	DOID:3312	bipolar disorder	bipolar_disorder == 'bipolar_disorder'	bipolar_disorder_control == 'bipolar_disorder_control'
