series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	iga_nephropathy_control	iga_nephropathy	sample_class
6432	1019	255910	GSM869368	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255911	GSM869369	GPL14663	GSE35488		iga_nephropathy	1
6432	1019	255912	GSM869370	GPL14663	GSE35488	iga_nephropathy_control		0
6432	1019	255913	GSM869371	GPL14663	GSE35488	iga_nephropathy_control		0
6432	1019	255914	GSM869372	GPL14663	GSE35488	iga_nephropathy_control		0
6432	1019	255915	GSM869373	GPL14663	GSE35488	iga_nephropathy_control		0
6432	1019	255916	GSM869374	GPL14663	GSE35488	iga_nephropathy_control		0
6432	1019	255917	GSM869375	GPL14663	GSE35488	iga_nephropathy_control		0
6433	1019	255918	GSM869345	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255919	GSM869346	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255920	GSM869347	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255921	GSM869348	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255922	GSM869349	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255923	GSM869350	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255924	GSM869351	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255925	GSM869352	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255926	GSM869353	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255927	GSM869354	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255928	GSM869355	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255929	GSM869356	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255930	GSM869357	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255931	GSM869358	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255932	GSM869359	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255933	GSM869360	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255934	GSM869361	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255935	GSM869362	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255936	GSM869363	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255937	GSM869364	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255938	GSM869365	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255939	GSM869366	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255940	GSM869367	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255941	GSM869368	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255942	GSM869369	GPL14663	GSE35489		iga_nephropathy	1
6433	1019	255943	GSM869370	GPL14663	GSE35489	iga_nephropathy_control		0
6433	1019	255944	GSM869371	GPL14663	GSE35489	iga_nephropathy_control		0
6433	1019	255945	GSM869372	GPL14663	GSE35489	iga_nephropathy_control		0
6433	1019	255946	GSM869373	GPL14663	GSE35489	iga_nephropathy_control		0
6433	1019	255947	GSM869374	GPL14663	GSE35489	iga_nephropathy_control		0
6433	1019	255948	GSM869375	GPL14663	GSE35489	iga_nephropathy_control		0
6433	2	255949	GSM869311	GPL96	GSE35489		iga_nephropathy	1
6433	2	255950	GSM869315	GPL96	GSE35489		iga_nephropathy	1
6433	2	255951	GSM869316	GPL96	GSE35489		iga_nephropathy	1
6433	2	255952	GSM869317	GPL96	GSE35489		iga_nephropathy	1
6433	2	255953	GSM869318	GPL96	GSE35489		iga_nephropathy	1
6433	2	255954	GSM869319	GPL96	GSE35489		iga_nephropathy	1
6433	2	255955	GSM869320	GPL96	GSE35489		iga_nephropathy	1
6433	2	255956	GSM869321	GPL96	GSE35489		iga_nephropathy	1
6433	2	255957	GSM869322	GPL96	GSE35489		iga_nephropathy	1
6433	2	255958	GSM869323	GPL96	GSE35489		iga_nephropathy	1
6433	2	255959	GSM869324	GPL96	GSE35489		iga_nephropathy	1
6433	2	255960	GSM869325	GPL96	GSE35489		iga_nephropathy	1
6433	2	255961	GSM869326	GPL96	GSE35489		iga_nephropathy	1
6433	2	255962	GSM869327	GPL96	GSE35489		iga_nephropathy	1
6433	2	255963	GSM869328	GPL96	GSE35489		iga_nephropathy	1
6433	2	255964	GSM869329	GPL96	GSE35489		iga_nephropathy	1
6433	2	255965	GSM869330	GPL96	GSE35489		iga_nephropathy	1
6433	2	255966	GSM869331	GPL96	GSE35489		iga_nephropathy	1
6433	2	255967	GSM869332	GPL96	GSE35489		iga_nephropathy	1
6433	2	255968	GSM869333	GPL96	GSE35489		iga_nephropathy	1
6433	2	255969	GSM869334	GPL96	GSE35489		iga_nephropathy	1
6433	2	255970	GSM869335	GPL96	GSE35489		iga_nephropathy	1
6433	2	255971	GSM869336	GPL96	GSE35489		iga_nephropathy	1
6433	2	255972	GSM869337	GPL96	GSE35489		iga_nephropathy	1
6433	2	255973	GSM869338	GPL96	GSE35489		iga_nephropathy	1
6433	2	255974	GSM869339	GPL96	GSE35489	iga_nephropathy_control		0
6433	2	255975	GSM869340	GPL96	GSE35489	iga_nephropathy_control		0
6433	2	255976	GSM869341	GPL96	GSE35489	iga_nephropathy_control		0
6433	2	255977	GSM869342	GPL96	GSE35489	iga_nephropathy_control		0
6433	2	255978	GSM869343	GPL96	GSE35489	iga_nephropathy_control		0
6433	2	255979	GSM869344	GPL96	GSE35489	iga_nephropathy_control		0
12726	674	500405	GSM1413151	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500409	GSM1413152	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500414	GSM1413153	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500419	GSM1413154	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500424	GSM1413155	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500431	GSM1413156	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500435	GSM1413157	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500439	GSM1413158	GPL10558	GSE58539		iga_nephropathy	1
12726	674	500444	GSM1413159	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500447	GSM1413160	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500452	GSM1413161	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500456	GSM1413162	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500462	GSM1413163	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500468	GSM1413164	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500475	GSM1413165	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500483	GSM1413166	GPL10558	GSE58539	iga_nephropathy_control		0
12726	674	500488	GSM1413167	GPL10558	GSE58539	iga_nephropathy_control		0
