series_id	platform_id	sample_id	gsm_name	gpl_name	gse_name	ovarian_cancer_control	ovarian_cancer	sample_class
5516	60	223391	GSM786443	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223392	GSM786444	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223393	GSM786445	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223394	GSM786446	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223395	GSM786447	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223396	GSM786448	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223397	GSM786449	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223398	GSM786450	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223399	GSM786451	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223400	GSM786452	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223401	GSM786453	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223402	GSM786454	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223403	GSM786455	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223404	GSM786456	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223405	GSM786457	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223406	GSM786458	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223407	GSM786459	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223408	GSM786460	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223409	GSM786461	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223410	GSM786462	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223411	GSM786463	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223412	GSM786464	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223413	GSM786465	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223414	GSM786466	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223415	GSM786467	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223416	GSM786468	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223417	GSM786469	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223418	GSM786470	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223419	GSM786471	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223420	GSM786472	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223421	GSM786473	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223422	GSM786474	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223423	GSM786475	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223424	GSM786476	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223425	GSM786477	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223426	GSM786478	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223427	GSM786479	GPL2986	GSE31682		ovarian_cancer	1
5516	60	223428	GSM786480	GPL2986	GSE31682		ovarian_cancer	1
7137	4	286731	GSM947269	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286732	GSM947270	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286733	GSM947271	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286734	GSM947272	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286735	GSM947273	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286736	GSM947274	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286737	GSM947275	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286738	GSM947276	GPL570	GSE38666	ovarian_cancer_control		0
7137	4	286751	GSM947289	GPL570	GSE38666		ovarian_cancer	1
7137	4	286752	GSM947290	GPL570	GSE38666		ovarian_cancer	1
7137	4	286753	GSM947291	GPL570	GSE38666		ovarian_cancer	1
7137	4	286754	GSM947292	GPL570	GSE38666		ovarian_cancer	1
7137	4	286755	GSM947293	GPL570	GSE38666		ovarian_cancer	1
7137	4	286756	GSM947294	GPL570	GSE38666		ovarian_cancer	1
7137	4	286757	GSM947295	GPL570	GSE38666		ovarian_cancer	1
7137	4	286758	GSM947296	GPL570	GSE38666		ovarian_cancer	1
7137	4	286759	GSM947297	GPL570	GSE38666		ovarian_cancer	1
7137	4	286760	GSM947298	GPL570	GSE38666		ovarian_cancer	1
7137	4	286761	GSM947299	GPL570	GSE38666		ovarian_cancer	1
7137	4	286762	GSM947300	GPL570	GSE38666		ovarian_cancer	1
7137	4	286763	GSM947301	GPL570	GSE38666		ovarian_cancer	1
7137	4	286764	GSM947302	GPL570	GSE38666		ovarian_cancer	1
7137	4	286765	GSM947303	GPL570	GSE38666		ovarian_cancer	1
7137	4	286766	GSM947304	GPL570	GSE38666		ovarian_cancer	1
7137	4	286767	GSM947305	GPL570	GSE38666		ovarian_cancer	1
7137	4	286768	GSM947306	GPL570	GSE38666		ovarian_cancer	1
7137	4	286769	GSM947307	GPL570	GSE38666		ovarian_cancer	1
7137	4	286770	GSM947308	GPL570	GSE38666		ovarian_cancer	1
7137	4	286771	GSM947309	GPL570	GSE38666		ovarian_cancer	1
7137	4	286772	GSM947310	GPL570	GSE38666		ovarian_cancer	1
7137	4	286773	GSM947311	GPL570	GSE38666		ovarian_cancer	1
7137	4	286774	GSM947312	GPL570	GSE38666		ovarian_cancer	1
7137	4	286775	GSM947313	GPL570	GSE38666		ovarian_cancer	1
